date,away,home,away_score,home_score,winner,winner_is_home,slot
2024-04-02,Lotte Giants,Hanwha Eagles,1.0,0.0,Lotte Giants,False,
2024-04-02,NC Dinos,LG Twins,7.0,5.0,NC Dinos,False,
2024-04-02,Doosan Bears,SSG Landers,6.0,13.0,SSG Landers,True,
2024-04-02,Kiwoom Heroes,Samsung Lions,8.0,3.0,Kiwoom Heroes,False,
2024-04-02,KIA Tigers,KT Wiz Suwon,6.0,10.0,KT Wiz Suwon,True,
2024-04-03,NC Dinos,LG Twins,0.0,5.0,LG Twins,True,
2024-04-03,Doosan Bears,SSG Landers,3.0,5.0,SSG Landers,True,
2024-04-03,KIA Tigers,KT Wiz Suwon,5.0,1.0,KIA Tigers,False,
2024-04-04,Lotte Giants,Hanwha Eagles,5.0,6.0,Hanwha Eagles,True,
2024-04-04,NC Dinos,LG Twins,7.0,8.0,LG Twins,True,
2024-04-04,Doosan Bears,SSG Landers,2.0,3.0,SSG Landers,True,
2024-04-04,Kiwoom Heroes,Samsung Lions,10.0,1.0,Kiwoom Heroes,False,
2024-04-04,KIA Tigers,KT Wiz Suwon,6.0,3.0,KIA Tigers,False,
2024-04-05,Hanwha Eagles,Kiwoom Heroes,7.0,11.0,Kiwoom Heroes,True,
2024-04-05,Samsung Lions,KIA Tigers,2.0,5.0,KIA Tigers,True,
2024-04-05,SSG Landers,NC Dinos,0.0,5.0,NC Dinos,True,
2024-04-05,Doosan Bears,Lotte Giants,4.0,3.0,Doosan Bears,False,
2024-04-05,KT Wiz Suwon,LG Twins,8.0,7.0,KT Wiz Suwon,False,
2024-04-06,KT Wiz Suwon,LG Twins,4.0,8.0,LG Twins,True,
2024-04-06,Doosan Bears,Lotte Giants,1.0,8.0,Lotte Giants,True,
2024-04-06,SSG Landers,NC Dinos,3.0,16.0,NC Dinos,True,
2024-04-06,Samsung Lions,KIA Tigers,7.0,4.0,Samsung Lions,False,
2024-04-06,Hanwha Eagles,Kiwoom Heroes,6.0,7.0,Kiwoom Heroes,True,
2024-04-07,KT Wiz Suwon,LG Twins,7.0,16.0,LG Twins,True,
2024-04-07,Doosan Bears,Lotte Giants,6.0,7.0,Lotte Giants,True,
2024-04-07,SSG Landers,NC Dinos,1.0,10.0,NC Dinos,True,
2024-04-07,Samsung Lions,KIA Tigers,7.0,3.0,Samsung Lions,False,
2024-04-07,Hanwha Eagles,Kiwoom Heroes,3.0,4.0,Kiwoom Heroes,True,
2024-04-09,Hanwha Eagles,Doosan Bears,3.0,5.0,Doosan Bears,True,
2024-04-09,Kiwoom Heroes,SSG Landers,5.0,8.0,SSG Landers,True,
2024-04-09,KT Wiz Suwon,NC Dinos,6.0,1.0,KT Wiz Suwon,False,
2024-04-09,Samsung Lions,Lotte Giants,8.0,1.0,Samsung Lions,False,
2024-04-09,LG Twins,KIA Tigers,2.0,7.0,KIA Tigers,True,
2024-04-10,Hanwha Eagles,Doosan Bears,4.0,7.0,Doosan Bears,True,
2024-04-10,Kiwoom Heroes,SSG Landers,4.0,8.0,SSG Landers,True,
2024-04-10,Samsung Lions,Lotte Giants,10.0,7.0,Samsung Lions,False,
2024-04-10,KT Wiz Suwon,NC Dinos,2.0,3.0,NC Dinos,True,
2024-04-10,LG Twins,KIA Tigers,4.0,5.0,KIA Tigers,True,
2024-04-11,Hanwha Eagles,Doosan Bears,3.0,0.0,Hanwha Eagles,False,
2024-04-11,Kiwoom Heroes,SSG Landers,5.0,2.0,Kiwoom Heroes,False,
2024-04-11,Samsung Lions,Lotte Giants,4.0,0.0,Samsung Lions,False,
2024-04-11,KT Wiz Suwon,NC Dinos,7.0,8.0,NC Dinos,True,
2024-04-11,LG Twins,KIA Tigers,4.0,8.0,KIA Tigers,True,
2024-04-12,Lotte Giants,Kiwoom Heroes,4.0,9.0,Kiwoom Heroes,True,
2024-04-12,NC Dinos,Samsung Lions,8.0,3.0,NC Dinos,False,
2024-04-12,SSG Landers,KT Wiz Suwon,3.0,8.0,KT Wiz Suwon,True,
2024-04-12,KIA Tigers,Hanwha Eagles,8.0,4.0,KIA Tigers,False,
2024-04-12,LG Twins,Doosan Bears,2.0,1.0,LG Twins,False,
2024-04-13,KIA Tigers,Hanwha Eagles,11.0,9.0,KIA Tigers,False,
2024-04-13,LG Twins,Doosan Bears,2.0,5.0,Doosan Bears,True,
2024-04-13,NC Dinos,Samsung Lions,4.0,3.0,NC Dinos,False,
2024-04-13,SSG Landers,KT Wiz Suwon,11.0,8.0,SSG Landers,False,
2024-04-13,Lotte Giants,Kiwoom Heroes,1.0,8.0,Kiwoom Heroes,True,
2024-04-14,KIA Tigers,Hanwha Eagles,5.0,2.0,KIA Tigers,False,
2024-04-14,LG Twins,Doosan Bears,5.0,9.0,Doosan Bears,True,
2024-04-14,NC Dinos,Samsung Lions,5.0,12.0,Samsung Lions,True,
2024-04-14,SSG Landers,KT Wiz Suwon,8.0,1.0,SSG Landers,False,
2024-04-14,Lotte Giants,Kiwoom Heroes,5.0,7.0,Kiwoom Heroes,True,
2024-04-16,KT Wiz Suwon,Kiwoom Heroes,3.0,6.0,Kiwoom Heroes,True,
2024-04-16,Lotte Giants,LG Twins,2.0,7.0,LG Twins,True,
2024-04-16,KIA Tigers,SSG Landers,4.0,6.0,SSG Landers,True,
2024-04-16,Doosan Bears,Samsung Lions,5.0,7.0,Samsung Lions,True,
2024-04-16,Hanwha Eagles,NC Dinos,7.0,4.0,Hanwha Eagles,False,
2024-04-17,Lotte Giants,LG Twins,5.0,6.0,LG Twins,True,
2024-04-17,KIA Tigers,SSG Landers,11.0,3.0,KIA Tigers,False,
2024-04-17,Doosan Bears,Samsung Lions,2.0,9.0,Samsung Lions,True,
2024-04-17,Hanwha Eagles,NC Dinos,3.0,4.0,NC Dinos,True,
2024-04-17,KT Wiz Suwon,Kiwoom Heroes,6.0,4.0,KT Wiz Suwon,False,
2024-04-18,KT Wiz Suwon,Kiwoom Heroes,3.0,0.0,KT Wiz Suwon,False,
2024-04-18,Doosan Bears,Samsung Lions,2.0,5.0,Samsung Lions,True,
2024-04-18,KIA Tigers,SSG Landers,5.0,7.0,SSG Landers,True,
2024-04-18,Lotte Giants,LG Twins,9.0,2.0,Lotte Giants,False,
2024-04-19,LG Twins,SSG Landers,4.0,1.0,LG Twins,False,
2024-04-19,NC Dinos,KIA Tigers,3.0,4.0,KIA Tigers,True,
2024-04-19,KT Wiz Suwon,Lotte Giants,3.0,4.0,Lotte Giants,True,
2024-04-19,Kiwoom Heroes,Doosan Bears,8.0,19.0,Doosan Bears,True,
2024-04-19,Samsung Lions,Hanwha Eagles,1.0,6.0,Hanwha Eagles,True,
2024-04-20,NC Dinos,KIA Tigers,2.0,9.0,KIA Tigers,True,
2024-04-20,Samsung Lions,Hanwha Eagles,1.0,0.0,Samsung Lions,False,
2024-04-21,KT Wiz Suwon,Lotte Giants,9.0,9.0,KT Wiz Suwon,False,
2024-04-21,Samsung Lions,Hanwha Eagles,5.0,3.0,Samsung Lions,False,
2024-04-21,NC Dinos,KIA Tigers,15.0,4.0,NC Dinos,False,
2024-04-21,Kiwoom Heroes,Doosan Bears,8.0,4.0,Kiwoom Heroes,False,
2024-04-21,LG Twins,SSG Landers,10.0,8.0,LG Twins,False,
2024-04-23,LG Twins,Samsung Lions,3.0,7.0,Samsung Lions,True,
2024-04-23,NC Dinos,Doosan Bears,3.0,4.0,Doosan Bears,True,
2024-04-23,Hanwha Eagles,KT Wiz Suwon,6.0,9.0,KT Wiz Suwon,True,
2024-04-23,KIA Tigers,Kiwoom Heroes,5.0,2.0,KIA Tigers,False,
2024-04-24,NC Dinos,Doosan Bears,3.0,1.0,NC Dinos,False,
2024-04-24,SSG Landers,Lotte Giants,12.0,7.0,SSG Landers,False,
2024-04-24,LG Twins,Samsung Lions,0.0,6.0,Samsung Lions,True,
2024-04-24,Hanwha Eagles,KT Wiz Suwon,1.0,7.0,KT Wiz Suwon,True,
2024-04-24,KIA Tigers,Kiwoom Heroes,6.0,4.0,KIA Tigers,False,
2024-04-25,KIA Tigers,Kiwoom Heroes,13.0,2.0,KIA Tigers,False,
2024-04-25,Hanwha Eagles,KT Wiz Suwon,0.0,9.0,KT Wiz Suwon,True,
2024-04-25,SSG Landers,Lotte Giants,3.0,6.0,Lotte Giants,True,
2024-04-25,LG Twins,Samsung Lions,8.0,2.0,LG Twins,False,
2024-04-25,NC Dinos,Doosan Bears,3.0,7.0,Doosan Bears,True,
2024-04-26,Doosan Bears,Hanwha Eagles,10.0,5.0,Doosan Bears,False,
2024-04-26,KIA Tigers,LG Twins,6.0,7.0,LG Twins,True,
2024-04-26,KT Wiz Suwon,SSG Landers,2.0,5.0,SSG Landers,True,
2024-04-26,Lotte Giants,NC Dinos,0.0,4.0,NC Dinos,True,
2024-04-26,Samsung Lions,Kiwoom Heroes,3.0,0.0,Samsung Lions,False,
2024-04-27,Samsung Lions,Kiwoom Heroes,11.0,0.0,Samsung Lions,False,
2024-04-27,Lotte Giants,NC Dinos,0.0,2.0,NC Dinos,True,
2024-04-27,Doosan Bears,Hanwha Eagles,5.0,10.0,Hanwha Eagles,True,
2024-04-27,KT Wiz Suwon,SSG Landers,5.0,2.0,KT Wiz Suwon,False,
2024-04-27,KIA Tigers,LG Twins,3.0,6.0,LG Twins,True,
2024-04-28,Doosan Bears,Hanwha Eagles,17.0,8.0,Doosan Bears,False,
2024-04-28,KIA Tigers,LG Twins,10.0,7.0,KIA Tigers,False,
2024-04-28,KT Wiz Suwon,SSG Landers,6.0,11.0,SSG Landers,True,
2024-04-28,Lotte Giants,NC Dinos,3.0,5.0,NC Dinos,True,
2024-04-28,Samsung Lions,Kiwoom Heroes,11.0,6.0,Samsung Lions,False,
2024-04-30,KT Wiz Suwon,KIA Tigers,11.0,4.0,KT Wiz Suwon,False,
2024-04-30,Samsung Lions,Doosan Bears,0.0,4.0,Doosan Bears,True,
2024-04-30,Kiwoom Heroes,Lotte Giants,9.0,7.0,Kiwoom Heroes,False,
2024-04-30,LG Twins,NC Dinos,0.0,8.0,NC Dinos,True,
2024-04-30,SSG Landers,Hanwha Eagles,2.0,8.0,Hanwha Eagles,True,
2024-05-01,SSG Landers,Hanwha Eagles,8.0,7.0,SSG Landers,False,
2024-05-01,Samsung Lions,Doosan Bears,9.0,2.0,Samsung Lions,False,
2024-05-01,Kiwoom Heroes,Lotte Giants,6.0,3.0,Kiwoom Heroes,False,
2024-05-01,LG Twins,NC Dinos,10.0,1.0,LG Twins,False,
2024-05-01,KT Wiz Suwon,KIA Tigers,1.0,9.0,KIA Tigers,True,
2024-05-02,LG Twins,NC Dinos,5.0,4.0,LG Twins,False,
2024-05-02,KT Wiz Suwon,KIA Tigers,12.0,5.0,KT Wiz Suwon,False,
2024-05-02,Samsung Lions,Doosan Bears,4.0,2.0,Samsung Lions,False,
2024-05-02,Kiwoom Heroes,Lotte Giants,5.0,6.0,Lotte Giants,True,
2024-05-02,SSG Landers,Hanwha Eagles,4.0,3.0,SSG Landers,False,
2024-05-03,Kiwoom Heroes,KT Wiz Suwon,1.0,2.0,KT Wiz Suwon,True,
2024-05-03,Hanwha Eagles,KIA Tigers,4.0,2.0,Hanwha Eagles,False,
2024-05-03,NC Dinos,SSG Landers,19.0,5.0,NC Dinos,False,
2024-05-03,Doosan Bears,LG Twins,6.0,4.0,Doosan Bears,False,
2024-05-03,Lotte Giants,Samsung Lions,8.0,7.0,Lotte Giants,False,
2024-05-04,Doosan Bears,LG Twins,3.0,2.0,Doosan Bears,False,
2024-05-04,NC Dinos,SSG Landers,8.0,6.0,NC Dinos,False,
2024-05-04,Lotte Giants,Samsung Lions,9.0,2.0,Lotte Giants,False,
2024-05-04,Kiwoom Heroes,KT Wiz Suwon,2.0,6.0,KT Wiz Suwon,True,
2024-05-04,Hanwha Eagles,KIA Tigers,2.0,10.0,KIA Tigers,True,
2024-05-07,SSG Landers,LG Twins,4.0,2.0,SSG Landers,False,
2024-05-07,Doosan Bears,Kiwoom Heroes,13.0,4.0,Doosan Bears,False,
2024-05-08,SSG Landers,LG Twins,5.0,8.0,LG Twins,True,
2024-05-08,Hanwha Eagles,Lotte Giants,1.0,6.0,Lotte Giants,True,
2024-05-08,KIA Tigers,Samsung Lions,4.0,2.0,KIA Tigers,False,
2024-05-08,NC Dinos,KT Wiz Suwon,6.0,7.0,KT Wiz Suwon,True,
2024-05-08,Doosan Bears,Kiwoom Heroes,6.0,1.0,Doosan Bears,False,
2024-05-09,SSG Landers,LG Twins,1.0,3.0,LG Twins,True,
2024-05-09,KIA Tigers,Samsung Lions,2.0,5.0,Samsung Lions,True,
2024-05-09,NC Dinos,KT Wiz Suwon,2.0,6.0,KT Wiz Suwon,True,
2024-05-09,Doosan Bears,Kiwoom Heroes,5.0,2.0,Doosan Bears,False,
2024-05-09,Hanwha Eagles,Lotte Giants,5.0,18.0,Lotte Giants,True,
2024-05-10,Kiwoom Heroes,Hanwha Eagles,4.0,5.0,Hanwha Eagles,True,
2024-05-10,KT Wiz Suwon,Doosan Bears,3.0,7.0,Doosan Bears,True,
2024-05-10,LG Twins,Lotte Giants,9.0,1.0,LG Twins,False,
2024-05-10,Samsung Lions,NC Dinos,3.0,10.0,NC Dinos,True,
2024-05-10,SSG Landers,KIA Tigers,4.0,2.0,SSG Landers,False,
2024-05-11,Samsung Lions,NC Dinos,3.0,2.0,Samsung Lions,False,
2024-05-11,LG Twins,Lotte Giants,2.0,1.0,LG Twins,False,
2024-05-11,Kiwoom Heroes,Hanwha Eagles,7.0,1.0,Kiwoom Heroes,False,
2024-05-12,Kiwoom Heroes,Hanwha Eagles,3.0,8.0,Hanwha Eagles,True,
2024-05-12,LG Twins,Lotte Giants,6.0,4.0,LG Twins,False,
2024-05-12,Samsung Lions,NC Dinos,7.0,2.0,Samsung Lions,False,
2024-05-12,KT Wiz Suwon,Doosan Bears,4.0,12.0,Doosan Bears,True,
2024-05-12,SSG Landers,KIA Tigers,2.0,3.0,KIA Tigers,True,
2024-05-14,Lotte Giants,KT Wiz Suwon,4.0,7.0,KT Wiz Suwon,True,
2024-05-14,Doosan Bears,KIA Tigers,8.0,5.0,Doosan Bears,False,
2024-05-14,Kiwoom Heroes,LG Twins,5.0,0.0,Kiwoom Heroes,False,
2024-05-14,NC Dinos,Hanwha Eagles,5.0,5.0,NC Dinos,False,
2024-05-14,Samsung Lions,SSG Landers,2.0,9.0,SSG Landers,True,
2024-05-15,NC Dinos,Hanwha Eagles,16.0,1.0,NC Dinos,False,
2024-05-15,Doosan Bears,KIA Tigers,4.0,8.0,KIA Tigers,True,
2024-05-16,NC Dinos,Hanwha Eagles,4.0,3.0,NC Dinos,False,
2024-05-16,Kiwoom Heroes,LG Twins,6.0,5.0,Kiwoom Heroes,False,
2024-05-16,Samsung Lions,SSG Landers,12.0,4.0,Samsung Lions,False,
2024-05-16,Lotte Giants,KT Wiz Suwon,2.0,0.0,Lotte Giants,False,
2024-05-16,Doosan Bears,KIA Tigers,7.0,7.0,Doosan Bears,False,
2024-05-17,SSG Landers,Kiwoom Heroes,5.0,4.0,SSG Landers,False,
2024-05-17,LG Twins,KT Wiz Suwon,13.0,5.0,LG Twins,False,
2024-05-17,Hanwha Eagles,Samsung Lions,5.0,7.0,Samsung Lions,True,
2024-05-17,Lotte Giants,Doosan Bears,5.0,1.0,Lotte Giants,False,
2024-05-17,KIA Tigers,NC Dinos,7.0,4.0,KIA Tigers,False,
2024-05-18,Lotte Giants,Doosan Bears,3.0,8.0,Doosan Bears,True,
2024-05-18,Hanwha Eagles,Samsung Lions,8.0,9.0,Samsung Lions,True,
2024-05-18,KIA Tigers,NC Dinos,7.0,2.0,KIA Tigers,False,
2024-05-18,LG Twins,KT Wiz Suwon,7.0,6.0,LG Twins,False,
2024-05-18,SSG Landers,Kiwoom Heroes,3.0,0.0,SSG Landers,False,
2024-05-19,SSG Landers,Kiwoom Heroes,3.0,10.0,Kiwoom Heroes,True,
2024-05-19,KIA Tigers,NC Dinos,2.0,1.0,KIA Tigers,False,
2024-05-19,Hanwha Eagles,Samsung Lions,12.0,2.0,Hanwha Eagles,False,
2024-05-19,LG Twins,KT Wiz Suwon,4.0,10.0,KT Wiz Suwon,True,
2024-05-19,Lotte Giants,Doosan Bears,3.0,3.0,Lotte Giants,False,
2024-05-21,NC Dinos,Kiwoom Heroes,5.0,3.0,NC Dinos,False,
2024-05-21,SSG Landers,Doosan Bears,6.0,8.0,Doosan Bears,True,
2024-05-21,KIA Tigers,Lotte Giants,1.0,6.0,Lotte Giants,True,
2024-05-21,LG Twins,Hanwha Eagles,4.0,8.0,Hanwha Eagles,True,
2024-05-21,KT Wiz Suwon,Samsung Lions,8.0,5.0,KT Wiz Suwon,False,
2024-05-22,KIA Tigers,Lotte Giants,2.0,4.0,Lotte Giants,True,
2024-05-22,KT Wiz Suwon,Samsung Lions,1.0,3.0,Samsung Lions,True,
2024-05-22,NC Dinos,Kiwoom Heroes,4.0,3.0,NC Dinos,False,
2024-05-22,LG Twins,Hanwha Eagles,5.0,7.0,Hanwha Eagles,True,
2024-05-22,SSG Landers,Doosan Bears,1.0,3.0,Doosan Bears,True,
2024-05-23,LG Twins,Hanwha Eagles,8.0,4.0,LG Twins,False,
2024-05-23,SSG Landers,Doosan Bears,3.0,10.0,Doosan Bears,True,
2024-05-23,KIA Tigers,Lotte Giants,6.0,10.0,Lotte Giants,True,
2024-05-23,NC Dinos,Kiwoom Heroes,4.0,6.0,Kiwoom Heroes,True,
2024-05-23,KT Wiz Suwon,Samsung Lions,9.0,2.0,KT Wiz Suwon,False,
2024-05-24,NC Dinos,LG Twins,4.0,11.0,LG Twins,True,
2024-05-24,Hanwha Eagles,SSG Landers,7.0,5.0,Hanwha Eagles,False,
2024-05-24,Samsung Lions,Lotte Giants,11.0,5.0,Samsung Lions,False,
2024-05-24,Kiwoom Heroes,KT Wiz Suwon,4.0,5.0,KT Wiz Suwon,True,
2024-05-24,Doosan Bears,KIA Tigers,7.0,5.0,Doosan Bears,False,
2024-05-25,Kiwoom Heroes,KT Wiz Suwon,2.0,5.0,KT Wiz Suwon,True,
2024-05-25,Samsung Lions,Lotte Giants,6.0,7.0,Lotte Giants,True,
2024-05-25,NC Dinos,LG Twins,6.0,10.0,LG Twins,True,
2024-05-25,Hanwha Eagles,SSG Landers,4.0,2.0,Hanwha Eagles,False,
2024-05-25,Doosan Bears,KIA Tigers,2.0,6.0,KIA Tigers,True,
2024-05-26,Doosan Bears,KIA Tigers,2.0,5.0,KIA Tigers,True,
2024-05-26,NC Dinos,LG Twins,3.0,6.0,LG Twins,True,
2024-05-26,Samsung Lions,Lotte Giants,1.0,9.0,Lotte Giants,True,
2024-05-28,Lotte Giants,Hanwha Eagles,3.0,12.0,Hanwha Eagles,True,
2024-05-28,KT Wiz Suwon,Doosan Bears,12.0,3.0,KT Wiz Suwon,False,
2024-05-28,LG Twins,SSG Landers,7.0,5.0,LG Twins,False,
2024-05-28,Kiwoom Heroes,Samsung Lions,4.0,3.0,Kiwoom Heroes,False,
2024-05-28,KIA Tigers,NC Dinos,11.0,8.0,KIA Tigers,False,
2024-05-29,KIA Tigers,NC Dinos,6.0,3.0,KIA Tigers,False,
2024-05-29,LG Twins,SSG Landers,13.0,4.0,LG Twins,False,
2024-05-29,KT Wiz Suwon,Doosan Bears,6.0,12.0,Doosan Bears,True,
2024-05-29,Kiwoom Heroes,Samsung Lions,11.0,5.0,Kiwoom Heroes,False,
2024-05-29,Lotte Giants,Hanwha Eagles,0.0,3.0,Hanwha Eagles,True,
2024-05-30,Lotte Giants,Hanwha Eagles,0.0,15.0,Hanwha Eagles,True,
2024-05-30,KT Wiz Suwon,Doosan Bears,1.0,6.0,Doosan Bears,True,
2024-05-30,Kiwoom Heroes,Samsung Lions,2.0,4.0,Samsung Lions,True,
2024-05-30,KIA Tigers,NC Dinos,11.0,2.0,KIA Tigers,False,
2024-05-30,LG Twins,SSG Landers,2.0,8.0,SSG Landers,True,
2024-05-31,LG Twins,Doosan Bears,6.0,3.0,LG Twins,False,
2024-05-31,SSG Landers,Kiwoom Heroes,4.0,2.0,SSG Landers,False,
2024-05-31,NC Dinos,Lotte Giants,5.0,13.0,Lotte Giants,True,
2024-05-31,Hanwha Eagles,Samsung Lions,6.0,8.0,Samsung Lions,True,
2024-05-31,KT Wiz Suwon,KIA Tigers,8.0,5.0,KT Wiz Suwon,False,
2024-06-01,LG Twins,Doosan Bears,8.0,5.0,LG Twins,False,
2024-06-01,NC Dinos,Lotte Giants,4.0,2.0,NC Dinos,False,
2024-06-01,Hanwha Eagles,Samsung Lions,4.0,6.0,Samsung Lions,True,
2024-06-01,KT Wiz Suwon,KIA Tigers,2.0,4.0,KIA Tigers,True,
2024-06-01,SSG Landers,Kiwoom Heroes,9.0,0.0,SSG Landers,False,
2024-06-02,LG Twins,Doosan Bears,9.0,1.0,LG Twins,False,
2024-06-02,SSG Landers,Kiwoom Heroes,6.0,2.0,SSG Landers,False,
2024-06-02,NC Dinos,Lotte Giants,4.0,13.0,Lotte Giants,True,
2024-06-02,Hanwha Eagles,Samsung Lions,0.0,1.0,Samsung Lions,True,
2024-06-02,KT Wiz Suwon,KIA Tigers,11.0,3.0,KT Wiz Suwon,False,
2024-06-04,Lotte Giants,KIA Tigers,6.0,0.0,Lotte Giants,False,
2024-06-04,Hanwha Eagles,KT Wiz Suwon,8.0,2.0,Hanwha Eagles,False,
2024-06-04,Samsung Lions,SSG Landers,3.0,1.0,Samsung Lions,False,
2024-06-04,Doosan Bears,NC Dinos,4.0,1.0,Doosan Bears,False,
2024-06-04,Kiwoom Heroes,LG Twins,11.0,3.0,Kiwoom Heroes,False,
2024-06-05,Kiwoom Heroes,LG Twins,2.0,4.0,LG Twins,True,
2024-06-05,Samsung Lions,SSG Landers,3.0,7.0,SSG Landers,True,
2024-06-05,Doosan Bears,NC Dinos,4.0,3.0,Doosan Bears,False,
2024-06-05,Hanwha Eagles,KT Wiz Suwon,12.0,2.0,Hanwha Eagles,False,
2024-06-05,Lotte Giants,KIA Tigers,9.0,3.0,Lotte Giants,False,
2024-06-06,Hanwha Eagles,KT Wiz Suwon,6.0,0.0,Hanwha Eagles,False,
2024-06-06,Samsung Lions,SSG Landers,0.0,4.0,SSG Landers,True,
2024-06-06,Lotte Giants,KIA Tigers,4.0,5.0,KIA Tigers,True,
2024-06-06,Kiwoom Heroes,LG Twins,4.0,8.0,LG Twins,True,
2024-06-06,Doosan Bears,NC Dinos,8.0,4.0,Doosan Bears,False,
2024-06-07,NC Dinos,Hanwha Eagles,6.0,2.0,NC Dinos,False,
2024-06-07,KIA Tigers,Doosan Bears,5.0,6.0,Doosan Bears,True,
2024-06-07,SSG Landers,Lotte Giants,7.0,11.0,Lotte Giants,True,
2024-06-07,LG Twins,KT Wiz Suwon,8.0,7.0,LG Twins,False,
2024-06-07,Samsung Lions,Kiwoom Heroes,5.0,7.0,Kiwoom Heroes,True,
2024-06-08,LG Twins,KT Wiz Suwon,8.0,2.0,LG Twins,False,
2024-06-08,Samsung Lions,Kiwoom Heroes,3.0,10.0,Kiwoom Heroes,True,
2024-06-08,KIA Tigers,Doosan Bears,8.0,9.0,Doosan Bears,True,
2024-06-08,NC Dinos,Hanwha Eagles,4.0,2.0,NC Dinos,False,
2024-06-09,LG Twins,KT Wiz Suwon,2.0,11.0,KT Wiz Suwon,True,
2024-06-09,Samsung Lions,Kiwoom Heroes,7.0,1.0,Samsung Lions,False,
2024-06-09,SSG Landers,Lotte Giants,5.0,1.0,SSG Landers,False,
2024-06-09,NC Dinos,Hanwha Eagles,3.0,3.0,NC Dinos,False,
2024-06-09,KIA Tigers,Doosan Bears,8.0,2.0,KIA Tigers,False,
2024-06-11,Kiwoom Heroes,Lotte Giants,5.0,2.0,Kiwoom Heroes,False,
2024-06-11,LG Twins,Samsung Lions,4.0,6.0,Samsung Lions,True,
2024-06-11,KT Wiz Suwon,NC Dinos,6.0,8.0,NC Dinos,True,
2024-06-11,KIA Tigers,SSG Landers,6.0,7.0,SSG Landers,True,
2024-06-11,Hanwha Eagles,Doosan Bears,6.0,1.0,Hanwha Eagles,False,
2024-06-12,LG Twins,Samsung Lions,4.0,5.0,Samsung Lions,True,
2024-06-12,KT Wiz Suwon,NC Dinos,11.0,8.0,KT Wiz Suwon,False,
2024-06-12,KIA Tigers,SSG Landers,13.0,7.0,KIA Tigers,False,
2024-06-12,Kiwoom Heroes,Lotte Giants,2.0,9.0,Lotte Giants,True,
2024-06-12,Hanwha Eagles,Doosan Bears,4.0,3.0,Hanwha Eagles,False,
2024-06-13,LG Twins,Samsung Lions,3.0,6.0,Samsung Lions,True,
2024-06-13,KT Wiz Suwon,NC Dinos,3.0,5.0,NC Dinos,True,
2024-06-13,KIA Tigers,SSG Landers,1.0,7.0,SSG Landers,True,
2024-06-13,Kiwoom Heroes,Lotte Giants,10.0,18.0,Lotte Giants,True,
2024-06-13,Hanwha Eagles,Doosan Bears,6.0,9.0,Doosan Bears,True,
2024-06-14,KIA Tigers,KT Wiz Suwon,11.0,1.0,KIA Tigers,False,
2024-06-14,Doosan Bears,Kiwoom Heroes,6.0,4.0,Doosan Bears,False,
2024-06-14,Lotte Giants,LG Twins,3.0,5.0,LG Twins,True,
2024-06-14,SSG Landers,Hanwha Eagles,11.0,4.0,SSG Landers,False,
2024-06-14,Samsung Lions,NC Dinos,7.0,4.0,Samsung Lions,False,
2024-06-15,SSG Landers,Hanwha Eagles,9.0,1.0,SSG Landers,False,
2024-06-15,Lotte Giants,LG Twins,9.0,8.0,Lotte Giants,False,
2024-06-15,KIA Tigers,KT Wiz Suwon,2.0,1.0,KIA Tigers,False,
2024-06-15,Doosan Bears,Kiwoom Heroes,4.0,1.0,Doosan Bears,False,
2024-06-15,Samsung Lions,NC Dinos,4.0,6.0,NC Dinos,True,
2024-06-16,Doosan Bears,Kiwoom Heroes,2.0,8.0,Kiwoom Heroes,True,
2024-06-16,SSG Landers,Hanwha Eagles,1.0,4.0,Hanwha Eagles,True,
2024-06-16,Samsung Lions,NC Dinos,4.0,5.0,NC Dinos,True,
2024-06-16,KIA Tigers,KT Wiz Suwon,3.0,1.0,KIA Tigers,False,
2024-06-16,Lotte Giants,LG Twins,8.0,9.0,LG Twins,True,
2024-06-18,SSG Landers,Samsung Lions,8.0,3.0,SSG Landers,False,
2024-06-18,Lotte Giants,KT Wiz Suwon,4.0,6.0,KT Wiz Suwon,True,
2024-06-18,LG Twins,KIA Tigers,4.0,11.0,KIA Tigers,True,
2024-06-18,Kiwoom Heroes,Hanwha Eagles,0.0,3.0,Hanwha Eagles,True,
2024-06-18,NC Dinos,Doosan Bears,2.0,6.0,Doosan Bears,True,
2024-06-19,NC Dinos,Doosan Bears,7.0,5.0,NC Dinos,False,
2024-06-19,SSG Landers,Samsung Lions,2.0,13.0,Samsung Lions,True,
2024-06-19,Lotte Giants,KT Wiz Suwon,13.0,5.0,Lotte Giants,False,
2024-06-19,LG Twins,KIA Tigers,7.0,5.0,LG Twins,False,
2024-06-19,Kiwoom Heroes,Hanwha Eagles,11.0,14.0,Hanwha Eagles,True,
2024-06-20,SSG Landers,Samsung Lions,0.0,4.0,Samsung Lions,True,
2024-06-20,Kiwoom Heroes,Hanwha Eagles,7.0,0.0,Kiwoom Heroes,False,
2024-06-20,LG Twins,KIA Tigers,5.0,6.0,KIA Tigers,True,
2024-06-20,NC Dinos,Doosan Bears,0.0,2.0,Doosan Bears,True,
2024-06-20,Lotte Giants,KT Wiz Suwon,6.0,7.0,KT Wiz Suwon,True,
2024-06-21,KT Wiz Suwon,LG Twins,3.0,2.0,KT Wiz Suwon,False,
2024-06-21,NC Dinos,SSG Landers,3.0,2.0,NC Dinos,False,
